id,face,suit,value
0,king,spades,13
1,queen,spades,12
2,jack,spades,11
3,ten,spades,10
4,nine,spades,9
5,eight,spades,8
6,seven,spades,7
7,six,spades,6
8,five,spades,5
9,four,spades,4
10,three,spades,3
11,two,spades,2
12,ace,spades,1
13,king,clubs,13
14,queen,clubs,12
15,jack,clubs,11
16,ten,clubs,10
17,nine,clubs,9
18,eight,clubs,8
19,seven,clubs,7
20,six,clubs,6
21,five,clubs,5
22,four,clubs,4
23,three,clubs,3
24,two,clubs,2
25,ace,clubs,1
26,king,diamonds,13
27,queen,diamonds,12
28,jack,diamonds,11
29,ten,diamonds,10
30,nine,diamonds,9
31,eight,diamonds,8
32,seven,diamonds,7
33,six,diamonds,6
34,five,diamonds,5
35,four,diamonds,4
36,three,diamonds,3
37,two,diamonds,2
38,ace,diamonds,1
39,king,hearts,13
40,queen,hearts,12
41,jack,hearts,11
42,ten,hearts,10
43,nine,hearts,9
44,eight,hearts,8
45,seven,hearts,7
46,six,hearts,6
47,five,hearts,5
48,four,hearts,4
49,three,hearts,3
50,two,hearts,2
51,ace,hearts,1
