year,Type,ProdectGroup,producer,volume,CostPerUnit,PricePerUnit, Revenues ,TotalCost,ProfitPercent,SummaryProfits
2018,ConvenienceStores,Meat,J&F,420,6,8.4,"3,542.00","2,528.40",29,Good Profit
2018,ConvenienceStores,Meat,J&F,528,5.4,7.6,"4,019.84","2,837.12",29,Good Profit
2018,ConvenienceStores,Coffee,J&F,4836,0.74,0.96,"4,642.56","3,578.64",23,Good Profit
2018,ConvenienceStores,Coffee,J&F,4872,0.62,0.9,"4,384.80","3,020.64",31,Good Profit
2018,ConvenienceStores,Coffee,J&F,6228,0.65,1.07,"6,663.96","4,048.20",39,Good Profit
2018,ConvenienceStores,Coffee,J&F,9456,0.85,1.17,"11,063.52","8,037.60",27,Good Profit
2018,ConvenienceStores,Coffee,J&F,7140,0.72,0.91,"6,497.40","5,140.80",21,Good Profit
2018,ConvenienceStores,Coffee,J&F,5424,0.82,1.11,"6,020.64","4,447.68",26,Good Profit
2018,ConvenienceStores,Coffee,J&F,5940,0.84,1.18,"7,009.20","4,989.60",29,Good Profit
2018,ConvenienceStores,Coffee,J&F,5580,0.63,1,"5,580.00","3,515.40",37,Good Profit
2018,ConvenienceStores,Coffee,J&F,5460,0.71,0.95,"5,187.00","3,876.60",25,Good Profit
2018,ConvenienceStores,Coffee,J&F,6660,0.74,1.08,"7,192.80","4,928.40",31,Good Profit
2018,ConvenienceStores,Coffee,J&F,7332,0.78,1.2,"8,798.40","5,718.96",35,Good Profit
2018,ConvenienceStores,Coffee,J&F,6480,0.68,1.07,"6,933.60","4,406.40",36,Good Profit
2018,ConvenienceStores,Coffee,J&F,4992,0.64,0.98,"4,892.16","3,194.88",35,Good Profit
2018,ConvenienceStores,Coffee,J&F,4836,0.77,1,"4,836.00","3,723.72",23,Good Profit
2018,ConvenienceStores,Coffee,J&F,7056,0.8,1.06,"7,479.36","5,644.80",25,Good Profit
2018,ConvenienceStores,Coffee,J&F,7152,0.93,1.18,"8,439.36","6,651.36",21,Good Profit
2018,ConvenienceStores,Coffee,J&F,7104,0.77,1.05,"7,459.20","5,470.08",27,Good Profit
2018,ConvenienceStores,Coffee,J&F,9564,0.67,1.1,"10,520.40","6,407.88",39,Good Profit
2018,ConvenienceStores,Coffee,J&F,9264,0.78,1.13,"10,468.32","7,225.92",31,Good Profit
2018,ConvenienceStores,Coffee,J&F,6540,0.74,1.13,"7,390.20","4,839.60",35,Good Profit
2018,ConvenienceStores,Coffee,J&F,7992,0.75,1.19,"9,510.48","5,994.00",37,Good Profit
2018,ConvenienceStores,Coffee,J&F,8220,0.74,1.01,"8,302.20","6,082.80",27,Good Profit
2018,ConvenienceStores,Coffee,J&F,7224,0.76,0.98,"7,079.52","5,490.24",22,Good Profit
2018,ConvenienceStores,Coffee,J&F,7188,0.74,0.97,"6,972.36","5,319.12",24,Good Profit
2018,ConvenienceStores,Coffee,J&F,7200,0.62,1,"7,200.00","4,464.00",38,Good Profit
2018,ConvenienceStores,Coffee,J&F,7164,0.72,1.16,"8,310.24","5,158.08",38,Good Profit
2018,ConvenienceStores,Coffee,J&F,5292,0.74,0.94,"4,974.48","3,916.08",21,Good Profit
2018,ConvenienceStores,Coffee,J&F,5028,0.84,1.13,"5,681.64","4,223.52",26,Good Profit
2018,ConvenienceStores,Coffee,J&F,5448,0.71,0.9,"4,903.20","3,868.08",21,Good Profit
2018,ConvenienceStores,Cosmetics,J&F,444,4.03,5.35,"2,375.40","1,789.32",25,Good Profit
2018,ConvenienceStores,Cosmetics,J&F,336,4.09,5.25,"1,764.00","1,374.24",22,Good Profit
2018,ConvenienceStores,Cosmetics,J&F,456,4.07,5.09,"2,321.04","1,855.92",20,Good Profit
2018,ConvenienceStores,Cosmetics,J&F,696,4.11,5.2,"3,619.20","2,860.56",21,Good Profit
2018,ConvenienceStores,Cosmetics,J&F,636,4.14,5.37,"3,415.32","2,633.04",23,Good Profit
2018,ConvenienceStores,Cosmetics,J&F,456,4,5.16,"2,352.96","1,824.00",22,Good Profit
2018,ConvenienceStores,Meat,Ferrero,480,5.4,8.5,"4,102.40","2,569.60",37,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1224,1.2,1.79,"2,190.96","1,468.80",33,Good Profit
